page,row_index,status,company,added_date,description,website,headcount,employees,country,region,city,ownership_type,founded,total_funding_m,last_funding_amount_m,last_funding_date,last_funding_type,last_funding_lead_investor,investor_type,investors,company_address,growth_metrics,raw_row_text
1,81,save | hide,ChannelEngine,"Jul 28, 2025 12.57 PM",provides ecommerce solutions for brands ChannelEngine [ digital platform that channelengine,channelengine.com,51-200,193,Netherlands,South Holland,Leiden,Private Equity,2013,2013,57.2,"Mar 14, 2022",Series,Airbridge Equity Partners,Corporate,~silverpointventure:,"Vondellaan 47; Leiden, 2332AA , NL",1% | ~0% | 0% | -3% | 3% | -19% | 24% | 121% | 394% | 12%,"save | hide | ChannelEngine | Jul 28, 2025 12.57 PM | provides ecommerce solutions for brands | ChannelEngine [ | digital platform that | channelengine.com | 51-200 | 193 | Netherlands | South Holland | Leiden | channelengine | Load contacts | ntacts | Private Equity | 2013 | 57.2 | 49.9 | Mar 14, 2022 | Series | Airbridge Equity Partners | Corporate | ~silverpointventure: | vendiro nl | nfa | 20 | nla | 1% | ~0% | 0% | -3% | 3% | -19% | 24% | 121% | 394% | 12% | Vondellaan 47; Leiden, 2332AA , NL | nfa | nfa | nfa | nla | nla"
1,82,hide,Leverage,"Jul 28,2025 12.57 PM",Leverage Al is company that offers Al-powered solutions supply chain management Ivrginc,tryleverage.ai,51-200,,United States,(USA),New York,Venture Capital,2018,2018,9.9,"Jul 13, 2023",Series,Chicago Ventures,nla,Tensility Venture [,New York; US,"~2% | 16% | 16 % | -10% | -10% | 29% | 400% | 1,650% | -12%","ave | hide | Leverage | Jul 28,2025 12.57 PM | Leverage Al is | company that offers Al-powered solutions | supply chain management | tryleverage.ai | 51-200 | United States | (USA) | New York | New York | Ivrginc | Load contacts | ntacts | Venture Capital | 2018 | 9.9 | Jul 13, 2023 | Series | Chicago Ventures | nla | Tensility Venture [ | nla | nla | nla | 23 | nla | ~2% | 16% | 16 % | -10% | -10% | 29% | 400% | 1,650% | -12% | New York; US | nla | nla | nla | nla | ~nla"
1,83,save | hide,Findability Certified Professional,"Jul 28, 2025 12.57 PM",Findability Sciences specializing Al-driven solutions technology company for . findabilitysciences c nla Woburn findability-certified - plofessional,,51-200,,United States,(USA),Massachusetts,Venture Capital,2010,2010,7.3,"Jul 21, 2017",Series,nla,nla,nla,"Jul 21, 2017",,"save | hide | Findability Certified Professional | Jul 28, 2025 12.57 PM | Findability Sciences | specializing | Al-driven solutions | technology company | for . | findabilitysciences c | 51-200 | nla | United States | (USA) | Massachusetts | Woburn | findability-certified - | plofessional | Load contacts | ntacts | Venture Capital | 2010 | 7.3 | 7.3 | Jul 21, 2017 | Series | nla | nla | nla | nla | nla | nla | nla | nla | nla | nla | nla | nla | nla | nla | ~nla | nla | nla | nfa | nfa | nla | ~nla"
1,84,,save,,,,,,,,,Private Equity,2015,2015,78.8,Jun 2021,Series,Alpha Wave Global,nfa,Rocketship.vc,"691 S Milpitas Blvd; Suite 217; Milpitas, California 95035, US",~1% | ~0% | -0% | 1% | 4% | -17% | 33% | 66 % | 1%,"save | hide | Locus | 28, 2025 12.57 PM | Locus = | offers an Al-driven platform for end-tO-end_ | logistics technology provider that | locus.sh | 201-500 | 314 | United States | (USA) | California | Milpitas | locus-sh | Load contacts | ntacts | Private Equity | 2015 | 78.8 | Jun | 2021 | Series | Alpha Wave Global | nfa | Rocketship.vc | nla | nla | nla | 34 | nfa | ~1% | ~0% | -0% | 1% | 4% | -17% | 33% | 66 % | 1% | 691 S Milpitas Blvd; Suite 217; Milpitas, California 95035, US | nfa | nfa | nfa | nfa | ~nfa"
1,86,hide,ProjectManager,"Jul 28,2025 12.57 PM",ProjectManager F ~softwa provider that offers project management comprehensi._ projectmanager:com Austin plojectmanager-com,,11-50,90,United States,(USA),Texas,Venture Capital,2008,2008,3.5,"Jun 18,2014",Series,zeusmanagement com,nla,zeusmanagement,"3420 Executive Center Drive; Austin, Texas 78731,US",3% | 11% | 11% | 26% | 40% | 76% | -12%,"ave | hide | ProjectManager | Jul 28,2025 12.57 PM | ProjectManager F | ~softwa | provider that offers | project management | comprehensi._ | projectmanager:com | 11-50 | 90 | United States | (USA) | Texas | Austin | plojectmanager-com | Load contacts | ntacts | Venture Capital | 2008 | 3.5 | 3.5 | Jun 18,2014 | Series | zeusmanagement com | nla | zeusmanagement | nla | nla | nla | nla | nla | 3% | 11% | 11% | 26% | 40% | 76% | -12% | 3420 Executive Center Drive; Austin, Texas 78731,US | nla | nla | nla | nla | ~nla"
1,87,save | hide,Dorabot,"Jul 28, 2025 12.57 PM",~smart warehouse solutions: They design _ robotics company specializing in dorabot com Peachtree Corners dorabot-inc:,,51-200,,United States,(USA),Georgia,Venture Capital,2015,2015,,"Feb 27, 2018",Series,Sinovation Ventures (@IMI,nla,Sinovation Venturt,"Peachtree Corners, Georgia GA 30071, US",~1% | 43% | 3% | -7% | -26% | -44% | ~37% | ~32%,"save | hide | Dorabot | Jul 28, 2025 12.57 PM | Dorabot | ~smart warehouse solutions: They design _ | robotics company specializing in | dorabot com | 51-200 | United States | (USA) | Georgia | Peachtree | Corners | dorabot-inc: | Load contacts | ntacts | Venture Capital | 2015 | nla | Feb 27, 2018 | Series | Sinovation Ventures (@IMI | nla | Sinovation Venturt | nla | nla | nla | nla | ~1% | 43% | 3% | -7% | -26% | -44% | ~37% | ~32% | nla | 3000 Northwoods Parkway; Peachtree Corners; Suite 330; | Peachtree Corners, Georgia GA 30071, US | nla | nfa | nfa | nla | ~nla"
1,88,save | hide,nla,"Oct 25, 2021",,,,,,,,Venture Capital,2013,2013,137.6,"Oct 25, 2021",Series,Cadonau Investimentos,Corporate,SoftBank Latin Am,"Avenida Jurubatuba 460; Sao Paulo, 04583-100,BR",3% | 7% | 16 % | 16% | 21% | 9% | 95% | 210% | 2%,"save | hide | Omie | 28, 2025 12.57 PM | Omie is a technology company that provides | an online ERP management system designe | omie | com.br | 1,001-5,000 | 1,578 | Brazil | Sao Paulo | Sao Paulo | oinie | Load contacts | ntacts | Venture Capital | 2013 | 137.6 | nla | Oct 25, 2021 | Series | Cadonau Investimentos | Corporate | SoftBank Latin Am | app mintegra com | 21.7M - 21.7M | 176 | nfa | 3% | 7% | 16 % | 16% | 21% | 9% | 95% | 210% | 2% | Avenida Jurubatuba 460; Sao Paulo, 04583-100,BR | nfa | nfa | nfa | nla | ~nla"
1,89,hide,#WitefmsimziR'A],"Jul 28, 2025 12.57 PM",#Wirt#FisrmtJiA] trading and data services company that _. steel baochunsteel com %e5%94%90%e5_,,51-200,,China,Hebei,Tangshan,,2010,2010,7.3,"Jun 25, 2019",Series,nla,nla,nla,"bWmbakrY iWv} #IL(0Mi69); EWm, patz 063000,",~20% | ~20%,"hide | #WitefmsimziR'A] | Jul 28, 2025 12.57 PM | #Wirt#FisrmtJiA] | trading and data services company that _. | steel | baochunsteel com | 51-200 | China | Hebei | Tangshan | %e5%94%90%e5_ | Load contacts | ntacts | Public | 2010 | 7.3 | 7.3 | Jun 25, 2019 | Series | nla | nla | nla | nla | nfa | nfa | nla | nla | nla | nfa | n/a | ~20% | ~20% | nfa | nfa | nla | bWmbakrY iWv} #IL(0Mi69); EWm, patz 063000, | CN | nfa | nfa | nfa | ~nla"
1,91,save | hide,1994,"Dec 18, 2022",,,,,,,,Venture Capital,1994,1994,,"Dec 18, 2022",Series,Norwest,nla,Norwest,"25 Old Broad Street; London; England, GB",12% | 36% | 75% | 98% | ~27%,"save | hide | Xpedeon | Jul | 28, 2025 12.57 PM | Xpedeon | software provider that offers | construction management | comprehensi . | xpedeon.com | 51-200 | 105 | United Kingdom | (UK) | England | London | ~sciftware-Itd | iporithms - | Load contacts | ntacts | Venture Capital | 1994 | Dec 18, 2022 | Series | Norwest | nla | Norwest | nla | nla | nla | nla | nla | 12% | 36% | 75% | 98% | nla | nla | ~27% | 25 Old Broad Street; London; England, GB | nla | nla | nla"
1,94,hide,OmniRetail Africa,"Jul 28, 2025 12.57 PM",OmniRetail trade management digital platform that provides solutions for omniretail africa Nigeria Lagos Lagos oinniretail - technology-limited,,51-200,808,,,,Venture Capital,2021,2021,20,"Apr 27, 2025",Series,Aruwa Capital Managemen,Corporate,Norfund,"Lagos, Lagos, NG","4% | 4% | 9% | 13,366% | 72%","ave | hide | OmniRetail Africa | Jul 28, 2025 12.57 PM | OmniRetail | trade | management | digital platform that provides | solutions for | omniretail africa | 51-200 | 808 | Nigeria | Lagos | Lagos | oinniretail - | technology-limited | Load contacts | ntacts | Venture Capital | 2021 | 20 | 20 | Apr 27, 2025 | Series | Aruwa Capital Managemen | Corporate | Norfund | Vent | Traction Apps | nla | 73 | nla | 4% | 4% | 9% | 13,366% | nla | nla | nla | 72% | Lagos, Lagos, NG | nla | nla | nla | nla | ~nla"
1,95,save | hide,Engage3,"Jul 28, 2025 12.57 PM",Engage3 F that provides innovative software solutions pricing intelligence company Davis eligage3,engage3.com,201-500,181,United States,(USA),California,Private Equity,2008,2008,64,Dec 2021,,,,,"707 4th St; Davis, California 95616,US",4% | ~5% | 5% | 1% | ~9% | 79% | 123% | 86 % | ~42%,"save | hide | Engage3 | Jul 28, 2025 12.57 PM | Engage3 F | that provides innovative software solutions | pricing intelligence company | engage3.com | 201-500 | 181 | United States | (USA) | California | Davis | eligage3 | Load contacts | ntacts | Private Equity | 2008 | 64 | Dec | 2021 | Series D | Arrowroot Capital Manager | Corporate | Sweetwater Privat | dexi.io | compa | nla | 32 | nla | 4% | ~5% | 5% | 1% | ~9% | 79% | 123% | 86 % | ~42% | 707 4th St; Davis, California 95616,US | nla | nla | nla | nla | ~nla"
1,96,save | hide,26.7,"Apr 18, 2000",,,,,,,,Private Equity,1996,1996,55.2,"Apr 18, 2000",,,,,"Apr 18, 2000",,"save | hide | Ironside Technologies | 28, 2025 12.57 PM | Infor is | cloud-based enterprise software solutions | software company that specializes | ironside.com | 10,000+ | nla | United States | (USA) | New York | New York | nia | Load contacts | ntacts | Private Equity | 1996 | 55.2 | 26.7 | Apr 18, 2000 | Series D | beamscope com | nfa | Delaney Capital M | nla | nla | nla | 988 | nla | nla | nla | nfa | nla | nla | nfa | nla | nfa | nla | nla | nfa | nfa | nfa | nfa | ~nla"
1,97,hide,ParallelDots,"Jul 28, 2025 12.57 PM",specializing retail execution software_ ' technology company Seattle plralleldots,paralleldots.com,51-200,338,United States,(USA),Washington,,2017,2017,6.5,"Mar 24, 2022",,,,,"600 Stewart Street;; Suite 300 and 400; Seattle, Washington",0% | ~0% | -0% | 10% | 34% | 146% | 234% | 389%,"hide | ParallelDots | Jul 28, 2025 12.57 PM | ParallelDots | specializing | retail execution software_ | ' technology company | paralleldots.com | 51-200 | 338 | United States | (USA) | Washington | Seattle | plralleldots | Load contacts | ntacts | Venture | Capital | 2017 | 6.5 | 4.5 | Mar 24, 2022 | Series A | Btomorrow | 'Ventures | nla | Btomorrow Ventur | nla | nfa | nfa | 35 | nla | 0% | ~0% | -0% | 10% | 34% | 146% | 234% | 389% | nla | 600 Stewart Street;; Suite 300 and 400; Seattle, Washington | 98101,US | nfa | nfa | nfa | nla"
