page,row_index,status,company,added_date,description,website,headcount,employees,country,region,city,ownership_type,founded,total_funding_m,last_funding_amount_m,last_funding_date,last_funding_type,last_funding_lead_investor,investor_type,investors,company_address,growth_metrics,raw_row_text
1,6,save,Ignite,"Jul 28, 2025 12.57 PM","that provides solutions for compliance, is a sustainable procurement platform igniteprocurement",ignite.no,51-200,,Norway,Oslo,Oslo,Venture Capital,2017,2017,16.4,Nov 2023,Series,Arkwright X,nla,griegkapital.no,"Nedre Vollgate 11; Sentrum; Oslo 0158,NO",2% | 2% | 5% | 18 % | 14% | 77% | 212% | 5%,"save | hide| | Ignite | Jul 28, 2025 12.57 PM | Ignite | that provides solutions for compliance, | is a sustainable procurement platform | ignite.no | 51-200 | Norway | Oslo | Oslo | igniteprocurement | Load contacts | ntacts | Venture Capital | 2017 | 16.4 | 4.8 | Nov | 2023 | Series | Arkwright X | nla | griegkapital.no | nla | nla | nla | nla | 2% | 2% | 5% | 18 % | 14% | 77% | 212% | 5% | Nedre Vollgate 11; Sentrum; Oslo 0158,NO | nla | nla | nla | nla | nla"
1,7,hide,Sendcloud,"Jul 28, 2025 12.57 PM",that offers solutions shipping software provider fol e-commerce sendcloud com seindcloud,,201-500,466,Netherlands,North Brabant,Eindhoven,Private Equity,2012,2012,200.9,"Sep 14, 2021",Series,HPE Growth,Corporate,SoftBank Investme,"Stadhuisplein 10; Eindhoven, North Brabant 5611 EM, NL",10% | 9% | 7% | 12% | 50% | 142% | -8 %,"hide | Sendcloud | Jul 28, 2025 12.57 PM | Sendcloud | that offers solutions | shipping software provider | fol | e-commerce | sendcloud com | 201-500 | 466 | Netherlands | North Brabant | Eindhoven | seindcloud | Load contacts | ntacts | Private Equity | 2012 | 200.9 | 177 | Sep 14, 2021 | Series | HPE Growth | Corporate | SoftBank Investme | Lox | tracey SUI | nja | 40 | nja | 10% | 9% | 7% | 12% | nla | 50% | 142% | -8 % | Stadhuisplein 10; Eindhoven, North Brabant 5611 EM, NL | nla | nla | nla | nla | nla"
1,8,Gave,Clearstory,"Jul 28, 2025 12.57 PM",provides change order management tools fo_. Clearstory [ software company that clearstorybuild San Francisco e)tracker,,51-200,,United States,(USA),California,Venture Capital,2018,2018,33.8,"Jun 26, 2024",Series,Building Ventures,Corporate,Building Ventures,"California, US",7% | 20% | 24% | 51% | 167%,"Gave | hide| | Clearstory | Jul 28, 2025 12.57 PM | provides change order management tools fo_. | Clearstory [ | software company that | clearstorybuild | 51-200 | United States | (USA) | California | San Francisco | e)tracker | Load contacts | ntacts | Venture Capital | 2018 | 33.8 | Jun 26, 2024 | Series | Building Ventures | Corporate | Building Ventures | DataStreet | nja | nla | 7% | 20% | 24% | 51% | nla | nfa | nla | 167% | San Francisco | California, US | nla | nla | nla | nla | nla"
1,9,hide,Axelor,"Jul 28, 2025 12.57 PM",Axelor = Open Source business application suite_ software company that offers an axelorcom arelor,,51-200,136,France,ile-De-France,Paris,Venture Capital,2005,2005,10.5,May 2022,Series,Elevation Capital Partners,nla,Elevation Capital F,"Paris, FR",-1% | -4% | 4% | -17% | -11% | 88 % | 189% | 231% | 22%,"hide | Axelor | Jul 28, 2025 12.57 PM | Axelor = | Open Source business application suite_ | software company that offers an | axelorcom | 51-200 | 136 | France | ile-De-France | Paris | arelor | Load contacts | ntacts | Venture Capital | 2005 | 10.5 | 10.5 | May | 2022 | Series | Elevation Capital Partners | nla | Elevation Capital F | nja | nla | nja | nja | -1% | -4% | 4% | -17% | -11% | 88 % | 189% | 231% | 22% | Paris, FR | nla | nla | nla | nla | nla"
1,10,hide,Nexite,"Jul 28, 2025 12.57 PM",specializing in loT and Al solutions for fashio_ retail technology company Aviv-Yafo nexiteretail,nexite.io,51-200,,Israel,Tel Aviv,Tel,Venture Capital,2017,2017,100,May 2022,Series,Battery Ventures,nla,Saban Ventures,"126 Igal Alon; Tel Aviv, Tel Aviv, IL",5 % | 10% | 12%,"hide | Nexite | Jul 28, 2025 12.57 PM | specializing in loT and Al solutions for fashio_ | Nexite | retail technology company | nexite.io | 51-200 | Israel | Tel Aviv | Tel | Aviv-Yafo | nexiteretail | Load contacts | ntacts | Venture Capital | 2017 | 100 | May | 2022 | Series | Battery Ventures | nla | Saban Ventures | nla | nla | nja | nja | 5 % | 10% | 12% | nfa | nla | nla | nla | nla | 126 Igal Alon; Tel Aviv, Tel Aviv, IL | nla | nla | nla | nla | nla"
1,11,hide,Deliverect,"Jul 28, 2025 12.57 PM",specializing in food tech solutions for_ technology provider deliverect com duliverecthq,,201-500,453,Belgium,Flanders,Ghent,Venture Capital,2018,2018,236.8,"Jan 23, 2022",Series,Alkeon Capital,Corporate,Newion,"Foreestelaan 82 bus 101; Ghent, Flemish Region 9000, BE",1% | ~2% | -4% | 4% | 6 % | -1% | 124% | 538% | -10%,"hide | Deliverect | Jul 28, 2025 12.57 PM | specializing in food tech solutions for_ | Deliverect | technology provider | deliverect com | 201-500 | 453 | Belgium | Flanders | Ghent | duliverecthq | Load contacts | ntacts | Venture Capital | 2018 | 236.8 | 150 | Jan 23, 2022 | Series | Alkeon Capital | Corporate | Newion | Redp | Tabesto by Delivel | nja | nja | 1% | ~2% | -4% | 4% | 6 % | -1% | 124% | 538% | -10% | Foreestelaan 82 bus 101; Ghent, Flemish Region 9000, BE | nfa | nla | nfa | nla | nla"
1,12,hide,Celus,"Jul 28, 2025 12.57 PM",specializing in electronics design solutions I. CELUS GmbH is = technology company celus io caintunity,,51-200,,Germany,Bavaria,Munich,Venture Capital,2018,2018,31.6,Jul % 2022,Series,2xN,nla,Plug and Play Tecl,"RidlerstraBe 57; Munich, Bavaria 80339, DE",0% | 24% | 35% | 116 % | 236 % | 266 % | 55%,"hide | Celus | Jul 28, 2025 12.57 PM | specializing in electronics design solutions I. | CELUS GmbH is = | technology company | celus io | 51-200 | Germany | Bavaria | Munich | caintunity | Load contacts | ntacts | Venture Capital | 2018 | 31.6 | 25.5 | Jul % | 2022 | Series | 2xN | nla | Plug and Play Tecl | nja | nla | nja | nja | nla | 0% | 24% | 35% | 116 % | 236 % | 266 % | 55% | RidlerstraBe 57; Munich, Bavaria 80339, DE | nla | nla | nla | nla | nla"
1,13,,Kinexon,"Jul 28, 2025 12.57 PM",specializing in industrial automation solution: KINEXON i technology company kinexon com kinexon,,201-500,211,Germany,Bavaria,Munich,Private Equity,2012,2012,147.8,"Apr 25, 2022",Series,BMW i Ventures,nla,EIT Digital,"Schellingstr: 35; Munich, Bavaria 80799,DE",-4% | -10% | -11% | 11% | -17% | -16 % | 13% | 23% | ~20%,"Kinexon | Jul 28, 2025 12.57 PM | specializing in industrial automation solution: | KINEXON i | technology company | kinexon com | 201-500 | 211 | Germany | Bavaria | Munich | kinexon | Load contacts | ntacts | Private Equity | 2012 | 147.8 | 130 | Apr 25, 2022 | Series | BMW i Ventures | nla | EIT Digital | Eul | nla | nla | nja | 29 | nja | -4% | -10% | -11% | 11% | -17% | -16 % | 13% | 23% | ~20% | Schellingstr: 35; Munich, Bavaria 80799,DE | nla | nla | nla | nla | nla"
1,14,hide,,"Jul 28, 2025 12.57 PM",Sendoso is specializes in personalized gifting solutions. corporate gifting service that San Francisco seindoso,sendoso.com,201-500,399,United States,(USA),California,Venture Capital,2016,2016,152.7,"Sep 13, 2021",Series,Craft Ventures,Corporate,Storm Ventures,"447 Battery St; Floor 2; San Francisco, California 94111, US",2% | -1% | 1% | ~2% | -2% | -16 % | -49% | -16 % | 43% | 9%,"hide | Sendoso | Jul 28, 2025 12.57 PM | Sendoso is | specializes in personalized gifting solutions. | corporate gifting service that | sendoso.com | 201-500 | 399 | United States | (USA) | California | San Francisco | seindoso | Load contacts | ntacts | Venture Capital | 2016 | 152.7 | 100 | Sep 13, 2021 | Series | Craft Ventures | Corporate | Storm Ventures | Alyce by Sendoso | nja | 43 | nja | 2% | -1% | 1% | ~2% | -2% | -16 % | -49% | -16 % | 43% | 9% | 447 Battery St; Floor 2; San Francisco, California 94111, US | nla | nla | nla | nla | nla"
1,15,,EXA Kehu,"Jul 28, 2025 12.57 PM",KEHU is a technology company specializing in distribution automation solutions: offers kehutech com kehutech,,51-200,,China,Shanghai,Jing'An,Venture Capital,2015,2015,,"Feb 26, 2019",Series,French Partners,nla,French Partners,"#ZK, Ei4i 200000,CN",-3% | 3% | 6 % | 6 % | 3%,"EXA Kehu | Jul 28, 2025 12.57 PM | KEHU is a technology company specializing in | distribution automation solutions: | offers | kehutech com | 51-200 | China | Shanghai | Jing'An | kehutech | Load contacts | ntacts | Venture Capital | 2015 | Feb 26, 2019 | Series | French Partners | nla | French Partners | nja | nla | nja | nja | nla | nla | -3% | 3% | 6 % | nla | 6 % | 3% | nla | Cinda Building, 1399 West Beijing Road, JingAn District, | Shanghai, China; #EI, 7F, | #ZK, Ei4i 200000,CN | nfa | nla | nfa | nla | nla"
1,16,,autone,"Jul 28, 2025 12.57 PM",specializing in inventory management _ Autone is white-collar service company London alitoneautone,autone.io,51-200,,United Kingdom,(UK),England,Venture Capital,2021,2021,21.2,"Oct 15, 2024",Series,2100 Ventures,nla,Motier Ventures,"London, England, GB",5 % | 27% | 151% | 420% | '500% | -2%,"autone | Jul 28, 2025 12.57 PM | specializing in inventory management _ | Autone is | white-collar service company | autone.io | 51-200 | United Kingdom | (UK) | England | London | alitoneautone | Load contacts | ntacts | Venture Capital | 2021 | 21.2 | 16.9 | Oct 15, 2024 | Series | 2100 Ventures | nla | Motier Ventures | nla | nla | nja | nja | 5 % | 27% | 151% | 420% | '500% | nfa | nfa | -2% | London, England, GB | nla | nla | nla | nla | nla"
1,17,hide,Logcomex,"Jul 28, 2025 12.57 PM",Logcomex is a logistics technology company that provides software solutions for planning_ logcomex com Cidade De. logcomex,,201-500,386,Brazil,Parana,Industrial,Private Equity,2016,2016,44.5,"Nov 21, 2023",Series,Alexia Ventures,nla,bossa invest,"andar; Curitiba, Parana",4% | 6 % | 12% | 23% | 14% | 118 % | 451%,"hide | Logcomex | Jul 28, 2025 12.57 PM | Logcomex is a logistics technology company | that provides software solutions for planning_ | logcomex com | 201-500 | 386 | Brazil | Parana | Industrial | Cidade | De. | logcomex | Load contacts | ntacts | Private Equity | 2016 | 44.5 | 33.6 | Nov 21, 2023 | Series | Alexia Ventures | nla | bossa invest | nla | nla | nja | nja | 4% | 6 % | 12% | 23% | 14% | 118 % | 451% | nla | Avenida Candido de Abreu 70; Torre | 80530-000, BR | andar; Curitiba, Parana | nla | nla | nla | nla | nla"
1,18,,Elmt+RuaMtr A&),"Jul 28, 2025 12.57 PM","Shanghai Elitesland Software System Co., Ltd. consulting and software development__. sciftware-system _ stianghai-elitesland-",elitesland.com,"501-1,000",,China,Shanghai,Qingpu,Venture Capital,2004,2004,14.9,May 2023,Series,songyuancap com,Corporate,songyuancap com,"137t2815887521+[R+OOLZATEZE; Amg, Lim, CN",-0% | 8 % | 3% | 0% | 5% | 16 %,"Elmt+RuaMtr A&) | Jul 28, 2025 12.57 PM | Shanghai Elitesland Software System Co., Ltd. | consulting and software development__. | elitesland.com | 501-1,000 | China | Shanghai | Qingpu | sciftware-system _ | stianghai-elitesland- | Load contacts | ntacts | Venture Capital | 2004 | 14.9 | nia | May | 2023 | Series | songyuancap com | Corporate | songyuancap com | Shanghai Guanglir | 3.2M - | 3.2M | 22 | nja | -0% | 8 % | 3% | 0% | 5% | nla | 16 % | nla | 137t2815887521+[R+OOLZATEZE; Amg, Lim, CN | nla | nla | nla | nla | nla"
1,19,,PT Esensi Solusi Buana (ESB),"Jul 28, 2025 12.57 PM",Esensi Solusi Buana that specializes in providing cloud-based _ technology company pI-esensi-solusi - buana,esb.id,201-500,351,Indonesia,Banten,Tangerang,Private Equity,2018,2018,39.6,"Aug 28, 2022",Series,Alpha JWC Ventures,nla,Alpha JWC Ventur,Tangerang; ID,3% | 7% | -1% | 1% | -12% | 58 % | 290% | 5%,"PT Esensi Solusi Buana (ESB) | Jul 28, 2025 12.57 PM | Esensi Solusi Buana | that | specializes in providing cloud-based _ | technology company | esb.id | 201-500 | 351 | Indonesia | Banten | Tangerang | pI-esensi-solusi - | buana | Load contacts | ntacts | Private Equity | 2018 | 39.6 | Aug 28, 2022 | Series | Alpha JWC Ventures | nla | Alpha JWC Ventur | nja | nla | nja | nja | 3% | 7% | -1% | 1% | -12% | 58 % | 290% | nfa | 5% | Tangerang; ID | nfa | nla | nfa | nla | nla"
1,20,,Gave,,,,,,,,,Private Equity,2017,2017,10.2,Jan 2024,Series,chaussonfinance com,nla,emerald-ventures.,"Place du Colonel Bourgoin; Paris, Ile-de-France 75012 , FR",1% | 2% | 15% | 28 % | 153% | 285% | 478 % | 30%,"Gave | hide | Hiboo | Jul 28 | 2025 12.57 PM | Hiboo | in equipment management solutions: | software company that specializes | offer__ | hiboo.io | 11-50 | France | ile-De-France | Paris | boohq | Load contacts | ntacts | Private Equity | 2017 | 10.2 | Jan | 2024 | Series | chaussonfinance com | nla | emerald-ventures. | nja | nla | nla | nja | 1% | 2% | 15% | 28 % | 153% | 285% | 478 % | 30% | Place du Colonel Bourgoin; Paris, Ile-de-France 75012 , FR | nla | nla | nla | nla | 8"
1,21,hide,Zeroboard,"Jul 28, 2025 12.57 PM",Zeroboard Inc. and software solutions provider that: sustainability consulting zeroboard jp #roboard,,51-200,,Japan,Tokyo,Minato City,Venture Capital,2021,2021,17.9,"Feb 26, 2023",Series,Coral Capital,nla,DBJ Capital,"=0=TAS-27; RTMa=@vt> Eilpi1on; @E, RrT",-5% | -2% | 6 % | 57%,"hide | Zeroboard | Jul 28, 2025 12.57 PM | Zeroboard Inc. | and software solutions provider that: | sustainability consulting | zeroboard jp | 51-200 | Japan | Tokyo | Minato City | #roboard | Load contacts | ntacts | Venture Capital | 2021 | 17.9 | 17.9 | Feb 26, 2023 | Series | Coral Capital | nla | DBJ Capital | nja | nla | nja | nja | -5% | -2% | 6 % | 57% | nla | nla | nla | nla | 108-0073, JP | =0=TAS-27; RTMa=@vt> Eilpi1on; @E, RrT | nla | nla | nla | nla | nla"
1,22,,6.5,"Sep 12, 2022",,,,,,,,Venture Capital,2022,2022,17.1,"Sep 12, 2022",Series,Alarko Ventures,nla,Rainmatter by Zerc,"415 Lexington Ave; New York; NY 10017, US",12% | 14% | 23% | 19% | 135% | 438% | 351% | 6 %,"Procol | Jul | 2025 12.57 PM | Procol is | that offers | procurement software company | suite of solutions designed to_ | procol.io | 51-200 | 167 | United States | (USA) | New York | New York | pl ocoltech | Load contacts | ntacts | Venture Capital | 2022 | 17.1 | 6.5 | Sep 12, 2022 | Series | Alarko Ventures | nla | Rainmatter by Zerc | nja | nla | nla | nja | 12% | 14% | 23% | 19% | 135% | 438% | 351% | 6 % | 415 Lexington Ave; New York; NY 10017, US | nla | nla | nla | nla | nla"
1,23,,Simbe,"Jul 28, 2025 12.57 PM",specializing in retail solutions. They offer _ Simbe Robotics technology company simberobotics com South San Francisco si nbe-robotics-inc,,51-200,,United States,(USA),California,Private Equity,2014,2014,104,"Oct 23, 2024",Series,eclipse capital,nla,Pillar VC,"385 Oyster Point Blvd; STE #2; South San Francisco, California",21% | 51% | 89% | 167% | 145% | 152% | 193% | 5%,"Simbe | Jul 28, 2025 12.57 PM | specializing in retail solutions. They offer _ | Simbe Robotics | technology company | simberobotics com | 51-200 | United States | (USA) | California | South San | Francisco | si nbe-robotics-inc | Load contacts | ntacts | Private Equity | 2014 | 104 | Oct 23, 2024 | Series | eclipse capital | nla | Pillar VC | Valo | nja | nla | nla | nja | 21% | 51% | 89% | 167% | 145% | 152% | 193% | 5% | 385 Oyster Point Blvd; STE #2; South San Francisco, California | 94080,US | nfa | nla | nfa | nla | nla"
1,24,hide,Aeb,"Jul 28, 2025 12.57 PM",AEB is a software company specializing in global trade ad logistics solutions They_ Stuttgart arb,aeb.com,"501-1,000",871,Germany,Wurttemberg,Baden -,Private Equity,1979,1979,41.7,Aug 2009,Series,Agman,Corporate,Flagship Pioneerin,"Sigmaringer StraBe 109; Stuttgart; Baden-Wirttemberg 70567,",1% | 8 % | 14% | 26 % | 31% | 54% | 59% | 20%,"hide | Aeb | Jul 28, 2025 12.57 PM | AEB is a software company specializing in | global trade ad | logistics solutions They_ | aeb.com | 501-1,000 | 871 | Germany | Wurttemberg | Baden - | Stuttgart | arb | Load contacts | ntacts | Private Equity | 1979 | 41.7 | 14.2 | Aug | 2009 | Series | Agman | Corporate | Flagship Pioneerin | nja | nla | nja | nja | 1% | 8 % | 14% | 26 % | 31% | 54% | 59% | 20% | DE | Sigmaringer StraBe 109; Stuttgart; Baden-Wirttemberg 70567, | nla | nla | nla | nla | nla"
1,25,,Cheetah,"Jul 28, 2025 12.57 PM",specializing in eCommerce solutions for the. Cheetah is a technology company gocheetah com San Francisco chieetah,,51-200,129,United States,(USA),California,Venture Capital,2014,2014,127.7,,Series,FJ Labs,Corporate,Iconiq,"351 9th Street; Suite 302; San Francisco, CA 94103,US",56 %,"Cheetah | Jul 28, 2025 12.57 PM | specializing in eCommerce solutions for the. | Cheetah is a technology company | gocheetah com | 51-200 | 129 | United States | (USA) | California | San Francisco | chieetah | Load contacts | ntacts | Venture Capital | 2014 | 127.7 | nla | Mar 12 , 2024 | Series | FJ Labs | Corporate | Iconiq | Com | jmdfood.com | nja | nja | nla | nla | nfa | nla | nfa | nla | nfa | nla | nfa | 56 % | 351 9th Street; Suite 302; San Francisco, CA 94103,US | nla | nla | nla | nla | nla"
1,26,,Milkman Technologies,"Jul 28, 2025 12.57 PM",technology provider specializing Milkman Technologies is = logistics last-mile. milkmantechnologie: milkman-deliveries,,51-200,,Italy,nla,nla,Venture Capital,2015,2015,35.8,"May 21, 2020",Series,360 Capital,nla,Poste Italiane,"Europe, IT",-4% | -22% | 22% | 36 % | 435% | 38 % | 31% | -18 % | 4%,"Milkman Technologies | Jul 28, 2025 12.57 PM | technology provider specializing | Milkman Technologies is = | logistics | last-mile. | milkmantechnologie: | 51-200 | Italy | nla | nla | milkman-deliveries | Load contacts | ntacts | Venture Capital | 2015 | 35.8 | 27.3 | May 21, 2020 | Series | 360 Capital | nla | Poste Italiane | nla | nla | nja | nja | -4% | -22% | 22% | 36 % | 435% | 38 % | 31% | -18 % | 4% | Europe, IT | nla | nla | nla | nla | nla"
1,27,,29.5,"Dec 19, 2021",,,,,,,,Private Equity,2014,2014,29.5,"Dec 19, 2021",Series,Catalyst Investors,nla,Lighter Capital,"2520 N Brevard St; Suite 200; Charlotte , North Carolina 28205,",2% | -5% | 5% | -7% | ~1% | 49% | 102% | 29%,"Ekos | Jul | 2025 12.57 PM | specializing in beverage management _ | Ekos Software Inc. | technology provider | goekos com | 51-200 | United States | (USA) | North Carolina | Charlotte | guekos | Load contacts | ntacts | Private Equity | 2014 | 29.5 | Dec 19, 2021 | Series | Catalyst Investors | nla | Lighter Capital | nja | nla | nja | nja | nla | 2% | -5% | 5% | -7% | ~1% | 49% | 102% | 29% | 2520 N Brevard St; Suite 200; Charlotte , North Carolina 28205, | US | nfa | nla | nfa | nla | nla"
1,28,,Smartwyre,"Jul 28, 2025 12.57 PM",Smartwyre is an agricultural technology company that provides software solutions smartwyre com Denver srnartwyre,,51-200,,United States,(USA),Colorado,Venture Capital,2018,2018,13.5,Sep 2021,Series,Anterra Capital,nla,Anterra Capital,"2301 Blake St; Denver; Colorado 80205, US",-4% | -5% | 3% | 27% | 97% | 232% | 361% | 7%,"Smartwyre | Jul 28, 2025 12.57 PM | Smartwyre is an agricultural technology | company that provides software solutions | smartwyre com | 51-200 | United States | (USA) | Colorado | Denver | srnartwyre | Load contacts | ntacts | Venture Capital | 2018 | 13.5 | 10.5 | Sep | 2021 | Series | Anterra Capital | nla | Anterra Capital | nla | nla | nja | nja | -4% | -5% | 3% | 27% | 97% | 232% | 361% | 7% | 2301 Blake St; Denver; Colorado 80205, US | nla | nla | nla | nla | nla"
1,29,,Vesper,"Jul 28, 2025 12.57 PM",that provides businesses with real-time. Vesper i commodity intelligence platform vespertool com vespertool,,51-200,116,Netherlands,North Holland,Amsterdam,Venture Capital,2018,2018,5.8,"Nov 28, 2023",Series,Keen Venture Partners,nla,Piton Capital,"Vijzelstraat 79; Amsterdam, Noord Holland 1017HG, NL",0% | 3% | 11% | 38 % | 39% | 286 % | 792%,"Vesper | Jul 28, 2025 12.57 PM | that provides businesses with real-time. | Vesper i | commodity intelligence platform | vespertool com | 51-200 | 116 | Netherlands | North Holland | Amsterdam | vespertool | Load contacts | ntacts | Venture Capital | 2018 | 5.8 | nla | Nov 28, 2023 | Series | Keen Venture Partners | nla | Piton Capital | nja | nla | nja | nja | 0% | 3% | 11% | 38 % | 39% | 286 % | 792% | Vijzelstraat 79; Amsterdam, Noord Holland 1017HG, NL | nla | nla | nla | nla | nla"
1,30,,Mercateam,"Jul 28, 2025 12.57 PM",Mercateam is software provider that offers solutions for__ workforce management merca.team mercateam-france,,11-50,,France,ile-De-France,Paris,Venture Capital,2020,2020,6.8,"Jun 10, 2024",Series,Isai,nla,Kima Ventures,"11, Rue du Perche; Paris, ile-de-France 75003,FR",2% | 16% | 16 % | 63% | 113% | 276 % | 716 % | -21%,"hide| | Mercateam | Jul 28, 2025 12.57 PM | Mercateam is | software provider that offers solutions for__ | workforce management | merca.team | 11-50 | France | ile-De-France | Paris | mercateam-france | Load contacts | ntacts | Venture Capital | 2020 | 6.8 | Jun 10, 2024 | Series | Isai | nla | Kima Ventures | nja | nla | nja | nla | 2% | nla | nfa | 16% | 16 % | 63% | 113% | 276 % | 716 % | -21% | 11, Rue du Perche; Paris, ile-de-France 75003,FR | nla | nla | nla | nla | nla"
1,31,,Pixibo,"Jul 28, 2025 12.57 PM",Pixibo is a technology company specializing in size and fit solutions for the fashion retail _ pixibo,wearepixibo.com,11-50,,Singapore,nla,nla,Venture Capital,2016,2016,2.4,"Feb 23, 2021",Series,Atlas Ventures,nla,starttoday jp,"Feb 23, 2021",,"Pixibo | Jul 28, 2025 12.57 PM | Pixibo is a technology company specializing | in size and fit solutions for the fashion retail _ | wearepixibo.com | 11-50 | nla | Singapore | nla | nla | pixibo | Load contacts | ntacts | Venture Capital | 2016 | 2.4 | Feb 23, 2021 | Series | Atlas Ventures | nla | starttoday jp | nja | nla | nja | nja | nla | nla | nfa | nla | nla | nla | nla | nla | nla | nla | nfa | nla | nla | nla | nla"
1,32,,GoComet,"Jul 28, 2025 12.57 PM",specializing in supply chain management. GoComet is a logistics software provider gocometcom Newark gu-comet,,201-500,242,United States,(USA),New Jersey,Venture Capital,2017,2017,9.5,"Feb 7, 2022",Series,Atlas Ventures,nla,Leo Capital,"243 Broadway #9188, Newark; NJ 07104; Newark, NJ 07104, US",12% | 23% | 34% | 58 % | 46 % | 152% | 365% | -17%,"GoComet | Jul 28, 2025 12.57 PM | specializing in supply chain management. | GoComet is a logistics software provider | gocometcom | 201-500 | 242 | United States | (USA) | New Jersey | Newark | gu-comet | Load contacts | ntacts | Venture Capital | 2017 | 9.5 | Feb 7, 2022 | Series | Atlas Ventures | nla | Leo Capital | nja | nla | nja | nja | 12% | 23% | 34% | 58 % | 46 % | 152% | 365% | -17% | 243 Broadway #9188, Newark; NJ 07104; Newark, NJ 07104, US | nla | nla | nla | nla | nla"
1,33,,Livespace,"Jul 28, 2025 12.57 PM",Livespace is offers comprehensive platform designed - CRM software provider that Warsaw Iin 'espace,livespace.io,11-50,,Poland,Masovian,Voivodeship,Private Equity,2013,2013,3.2,"Feb 29, 2024",Series,Aria,nja,Google for Startup,"Rejtana; 17/12; Warszawa, Mazowieckie 02-516, PL",3% | F1% | 1% | 43% | 73% | 68 % | 103% | 126 % | -17%,"Livespace | Jul 28, 2025 12.57 PM | Livespace is | offers | comprehensive platform designed - | CRM software provider that | livespace.io | 11-50 | Poland | Masovian | Voivodeship | Warsaw | Iin 'espace | Load contacts | ntacts | Private Equity | 2013 | 3.2 | 2.5 | Feb 29, 2024 | Series | Aria | nja | Google for Startup | nja | nla | nja | nja | 3% | F1% | 1% | 43% | 73% | 68 % | 103% | 126 % | -17% | Rejtana; 17/12; Warszawa, Mazowieckie 02-516, PL | nla | nla | nla | nla | nla"
1,34,,Knowledgehook,"Jul 28, 2025 12.57 PM",company that provides innovative software_ Knowledgehook is an educational technology knowledgehookcom owledgehook-inc,,51-200,,Canada,Ontario,Toronto,Venture Capital,2014,2014,22.5,"Oct 15, 2020",Series,Ideal Ventures Studio,nla,Nicoya Ventures,"79 Wellington St W; 1620; Toronto, Ontario M5J, CA",41% | -4% | -16 % | -16% | -18 % | ~25% | 19% | 154%,"hidt | Knowledgehook | Jul 28, 2025 12.57 PM | company that provides innovative software_ | Knowledgehook is an educational technology | knowledgehookcom | 51-200 | Canada | Ontario | Toronto | owledgehook-inc | Load contacts | ntacts | Venture Capital | 2014 | 22.5 | 20 | Oct 15, 2020 | Series | Ideal Ventures Studio | nla | Nicoya Ventures | nla | nla | nja | nja | 41% | -4% | -16 % | -16% | -18 % | ~25% | 19% | 154% | nla | 79 Wellington St W; 1620; Toronto, Ontario M5J, CA | nla | nla | nla | nla"
1,35,,Buffalo Market,"Jul 28, 2025 12.57 PM",specializing in the efficient distribution of_ Buffalo Market is food distributor buffalomarket com San Francisco riffalomarket,,11-50,,United States,(USA),California,Venture Capital,2019,2019,42.2,Jul 2023,Series,Coughdrop Capital,nla,Evolution Venture:,"800 Market Street; San Francisco, CA 94117, US",-11% | ~21% | 1% | ~27% | -27% | 36 % | 39% | 220%,"Buffalo Market | Jul 28, 2025 12.57 PM | specializing in the efficient distribution of_ | Buffalo Market is | food distributor | buffalomarket com | 11-50 | United States | (USA) | California | San Francisco | riffalomarket | Load contacts | ntacts | Venture Capital | 2019 | 42.2 | 18.5 | Jul | 2023 | Series | Coughdrop Capital | nla | Evolution Venture: | nla | nla | nja | nja | -11% | ~21% | 1% | ~27% | -27% | 36 % | 39% | 220% | nfa | nla | 800 Market Street; San Francisco, CA 94117, US | nfa | nla | nla | nia | nia"
1,36,,Skydropx LATAM,"Jul 28, 2025 12.57 PM",Skydropx is specializes automating shipping processe: logistics software provider that skydropx com s: kydropx,,201-500,444,Mexico,Nuevo Leon,Monterrey,Venture Capital,2014,2014,2022,Aug 2022,Series,Angel Hub Ventures,Corporate,SIERRA Ventures,"Padre Raymundo Jardo 925; Monterrey, Nuevo Leon 64000,MX",2% | 3% | 9% | 20% | 0% | 30%,"Skydropx LATAM | Jul 28, 2025 12.57 PM | Skydropx is | specializes | automating shipping processe: | logistics software provider that | skydropx com | 201-500 | 444 | Mexico | Nuevo Leon | Monterrey | s: kydropx | Load contacts | ntacts | Venture Capital | 2014 | nla | Aug | 2022 | Series | Angel Hub Ventures | Corporate | SIERRA Ventures | Frenet | 5.2M - 5.2M | nja | 2% | 3% | 9% | 20% | 0% | nla | nla | 30% | Padre Raymundo Jardo 925; Monterrey, Nuevo Leon 64000,MX | nla | nla | nla | nla | nla"
