company,field,issue_type,detail
12.5,added_date,format,"Unexpected date format: Mar 15, 2022"
12.5,company,format,Company name looks garbled
77.3,added_date,format,"Unexpected date format: Feb 21, 2021"
77.3,company,format,Company name looks garbled
nla,added_date,format,"Unexpected date format: Nov 19, 2015"
nla,website,missing,No website extracted
1.5,added_date,format,"Unexpected date format: Oct 17, 2009"
1.5,company,format,Company name looks garbled
nla,added_date,format,"Unexpected date format: Sep 24, 2015"
2012,added_date,format,"Unexpected date format: Aug 16, 2017"
2012,company,format,Company name looks garbled
36.7,added_date,format,"Unexpected date format: Dec 7, 2020"
36.7,company,format,Company name looks garbled
Cave,added_date,missing,Missing added_date
29.2,added_date,format,"Unexpected date format: Oct 17, 2023"
29.2,company,format,Company name looks garbled
25.9,added_date,format,"Unexpected date format: Oct 31, 2021"
25.9,company,format,Company name looks garbled
25.9,website,missing,No website extracted
Join,added_date,missing,Missing added_date
Join,website,missing,No website extracted
nla,added_date,format,"Unexpected date format: Aug 31, 2021"
Cave,added_date,missing,Missing added_date
1.2,added_date,format,"Unexpected date format: Oct 14, 2013"
1.2,company,format,Company name looks garbled
1.2,website,missing,No website extracted
Cave,added_date,missing,Missing added_date
36.5,added_date,format,"Unexpected date format: Jun 13, 2024"
36.5,company,format,Company name looks garbled
125.1,added_date,format,"Unexpected date format: May 17, 2021"
125.1,company,format,Company name looks garbled
2014,added_date,format,"Unexpected date format: Jun 26, 2018"
2014,company,format,Company name looks garbled
5.3,added_date,format,"Unexpected date format: Apr 16, 2000"
5.3,company,format,Company name looks garbled
save,added_date,missing,Missing added_date
73.1,added_date,format,"Unexpected date format: Oct 5, 2021"
73.1,company,format,Company name looks garbled
10.5,added_date,format,"Unexpected date format: Feb 17, 2025"
10.5,company,format,Company name looks garbled
30.6,added_date,format,"Unexpected date format: Aug 23, 2021"
30.6,company,format,Company name looks garbled
2020,added_date,format,"Unexpected date format: Sep 25, 2023"
2020,company,format,Company name looks garbled
save,added_date,missing,Missing added_date
809.2,added_date,format,"Unexpected date format: May 10, 2025"
809.2,company,format,Company name looks garbled
nla,added_date,format,"Unexpected date format: Sep 28, 2021"
11.5,added_date,format,"Unexpected date format: Oct 2, 2018"
11.5,company,format,Company name looks garbled
11.5,website,missing,No website extracted
6.9,added_date,format,"Unexpected date format: Apr 15, 2024"
6.9,company,format,Company name looks garbled
50.1,added_date,format,"Unexpected date format: Jun 30, 2021"
50.1,company,format,Company name looks garbled
50.1,website,missing,No website extracted
nla,added_date,format,"Unexpected date format: Nov 30, 2020"
14.8,added_date,format,"Unexpected date format: Mar 10, 2022"
14.8,company,format,Company name looks garbled
14.8,website,missing,No website extracted
312,added_date,format,"Unexpected date format: Oct 27, 2021"
312,company,format,Company name looks garbled
15.5,added_date,format,"Unexpected date format: Mar 23, 2025"
15.5,company,format,Company name looks garbled
save,added_date,missing,Missing added_date
save,added_date,missing,Missing added_date
67.1,added_date,format,"Unexpected date format: Feb 14, 2022"
67.1,company,format,Company name looks garbled
8.8,added_date,format,"Unexpected date format: Jul 29, 2024"
8.8,company,format,Company name looks garbled
5.3,added_date,format,"Unexpected date format: Oct 15, 2023"
5.3,company,format,Company name looks garbled
Increff,website,missing,No website extracted
23.4,added_date,format,"Unexpected date format: Dec 2, 2017"
23.4,company,format,Company name looks garbled
11.3,added_date,format,"Unexpected date format: Aug 19, 2024"
11.3,company,format,Company name looks garbled
11.3,website,missing,No website extracted
dtzumitiXTJRRA],website,missing,No website extracted
Fluent Commerce,website,missing,No website extracted
32.9,added_date,format,"Unexpected date format: Jul 12, 2021"
32.9,company,format,Company name looks garbled
2003,added_date,format,"Unexpected date format: Jul 4, 2013"
2003,company,format,Company name looks garbled
9.4,added_date,format,"Unexpected date format: Nov 4, 2021"
9.4,company,format,Company name looks garbled
Emulate,website,missing,No website extracted
7.7,added_date,format,"Unexpected date format: Dec 14, 2021"
7.7,company,format,Company name looks garbled
7.7,website,missing,No website extracted
12.4,added_date,format,"Unexpected date format: Nov 6, 2023"
12.4,company,format,Company name looks garbled
nla,added_date,format,"Unexpected date format: Dec 31, 2017"
55.6,added_date,format,"Unexpected date format: Apr 18, 2023"
55.6,company,format,Company name looks garbled
Rush ReCommerce,website,missing,No website extracted
nla,added_date,format,"Unexpected date format: Dec 10, 2011"
93.1,added_date,format,"Unexpected date format: Sep 11, 2021"
93.1,company,format,Company name looks garbled
Raft,website,missing,No website extracted
nla,added_date,format,"Unexpected date format: Nov 12, 2024"
39.5,added_date,format,"Unexpected date format: Oct 8, 2024"
39.5,company,format,Company name looks garbled
MMZA #NITR'&],company,format,Company name looks garbled
nla,added_date,format,"Unexpected date format: Oct 31, 2017"
fabric,website,missing,No website extracted
nla,added_date,format,"Unexpected date format: Mar 27, 2017"
cargo.one,website,missing,No website extracted
7.7,added_date,format,"Unexpected date format: Feb 12, 2023"
7.7,company,format,Company name looks garbled
TradeLink,website,missing,No website extracted
Xentral ERP Software,added_date,format,"Unexpected date format: Jul 28, 2025 12:57 PM"
1.5,added_date,format,"Unexpected date format: Oct 13, 2024"
1.5,company,format,Company name looks garbled
Meridia,added_date,format,"Unexpected date format: Jul 28, 2025 12:57 PM"
Meridia,website,missing,No website extracted
2017,added_date,format,"Unexpected date format: May 13, 2025"
2017,company,format,Company name looks garbled
30.6,added_date,format,"Unexpected date format: Nov 15, 2021"
30.6,company,format,Company name looks garbled
Hotlink,added_date,format,"Unexpected date format: Jul 28, 2025 12:57 PM"
25,added_date,format,"Unexpected date format: Aug 12, 2021"
25,company,format,Company name looks garbled
Maxa,added_date,format,"Unexpected date format: Jul 28, 2025 12:57 PM"
54.5,added_date,format,"Unexpected date format: Sep 14, 2022"
54.5,company,format,Company name looks garbled
54.5,website,missing,No website extracted
Hyperlounge,headcount,format,Unexpected headcount format: 44-41 0/0[42l2Tl is a data analysis service
35.8,added_date,format,"Unexpected date format: Jun 10, 2024"
35.8,company,format,Company name looks garbled
10.3,added_date,format,"Unexpected date format: Feb 13, 2024"
10.3,company,format,Company name looks garbled
20,added_date,format,"Unexpected date format: Jul 30, 2024"
20,company,format,Company name looks garbled
36.3,added_date,format,"Unexpected date format: Sep 12, 2022"
36.3,company,format,Company name looks garbled
36.3,website,missing,No website extracted
Altana,headcount,format,"Unexpected headcount format: ""51-200"
Altana,website,missing,No website extracted
Jugnu,website,missing,No website extracted
Greenly | Certified B Corp,website,missing,No website extracted
