page,text,confidence,x0,y0,x1,y1
1,14%,0.9951591470372406,4933,244,4963,258
1,77%,0.8950030499791001,5111,244,5143,261
1,212%,0.9559829174169575,5286,244,5323,261
1,5%,0.9916453738985729,5468,244,5493,258
1,"Nedre Vollgate 11; Sentrum; Oslo 0158,NO",0.7485774267255287,5503,244,5750,261
1,nla,0.7356055456138567,6033,244,6058,261
1,nla,0.7429364014151495,6213,244,6238,261
1,nla,0.7356055456138567,6393,244,6418,261
1,nla,0.7429364014151495,6573,244,6598,261
1,nla,0.7181036017993235,6698,244,6723,261
1,"that provides solutions for compliance,",0.965679772053184,684,251,906,268
1,Sendcloud,0.8166447097238853,684,279,751,296
1,shipping software provider,0.9781938513290619,771,279,931,298
1,hide,0.999850332736969,149,289,176,301
1,Sendcloud,0.999892351114413,224,289,288,306
1,"Jul 28, 2025 12.57 PM",0.8020677396461265,524,289,656,306
1,sendcloud com,0.8658606740506957,1166,289,1261,306
1,201-500,0.9786635184981929,1329,289,1383,303
1,466,0.9998988960026313,1476,289,1503,303
1,Netherlands,0.999987455857546,1534,289,1611,306
1,North Brabant,0.9998504711776922,1644,289,1731,306
1,Eindhoven,0.9979009784595688,1764,289,1831,306
1,seindcloud,0.8714701874849472,1874,289,1941,303
1,Load contacts,0.9826479166437381,2024,289,2111,303
1,ntacts,0.970541030537115,2073,289,2111,306
1,Private Equity,0.8992715343405939,2134,289,2218,306
1,2012,1.0,2254,289,2288,303
1,200.9,0.9994724672333621,2424,289,2464,306
1,177,0.7524760961532593,2609,289,2631,301
1,"Sep 14, 2021",0.9980939238178796,2697,289,2774,306
1,Series,0.9933462317939722,2784,289,2826,306
1,HPE Growth,0.9993939527901282,2934,289,3009,303
1,Corporate,0.9999639587333806,3104,289,3169,306
1,SoftBank Investme,0.8008775159722393,3234,289,3344,303
1,Lox,0.9998854752209928,3374,289,3401,303
1,tracey SUI,0.81458407246599,3424,289,3481,306
1,nja,0.23990094925685584,3614,289,3639,303
1,40,0.9999982298328214,3962,289,3984,303
